temperature_c,perceived_temperature_c,humidity,windspeed_kmh,conditions,season,is_holiday,is_weekend,hour_sin,hour_cos,weekday_sin,weekday_cos,month_sin,month_cos
3.3,3.0,81.0,0.0,clear,Winter,0,1,0.0,1.0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
2.3,2.0,80.0,0.0,clear,Winter,0,1,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
2.3,2.0,80.0,0.0,clear,Winter,0,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
3.3,3.0,75.0,0.0,clear,Winter,0,1,0.7071067811865475,0.7071067811865476,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
3.3,3.0,75.0,0.0,clear,Winter,0,1,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
3.3,1.0,75.0,6.0,clouds,Winter,0,1,0.9659258262890682,0.25881904510252096,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
2.3,2.0,80.0,0.0,clear,Winter,0,1,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
1.4,1.0,86.0,0.0,clear,Winter,0,1,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
3.3,3.0,75.0,0.0,clear,Winter,0,1,0.8660254037844387,-0.49999999999999983,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
7.0,7.0,76.0,0.0,clear,Winter,0,1,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
9.9,10.0,76.0,17.0,clear,Winter,0,1,0.5000000000000003,-0.8660254037844385,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
8.9,6.0,81.0,19.0,clear,Winter,0,1,0.25881904510252146,-0.9659258262890681,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
11.7,12.0,77.0,19.0,clear,Winter,0,1,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
13.6,14.0,72.0,20.0,clouds,Winter,0,1,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
13.6,14.0,72.0,19.0,clouds,Winter,0,1,-0.4999999999999998,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
12.7,13.0,77.0,20.0,clouds,Winter,0,1,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
11.7,12.0,82.0,20.0,clouds,Winter,0,1,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
12.7,13.0,82.0,19.0,clouds,Winter,0,1,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
11.7,12.0,88.0,17.0,light_rain,Winter,0,1,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
11.7,12.0,88.0,17.0,light_rain,Winter,0,1,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
10.8,11.0,87.0,17.0,clouds,Winter,0,1,-0.866025403784439,0.49999999999999933,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
10.8,11.0,87.0,13.0,clouds,Winter,0,1,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
10.8,11.0,94.0,15.0,clouds,Winter,0,1,-0.5000000000000012,0.8660254037844379,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
13.6,14.0,88.0,20.0,clouds,Winter,0,1,-0.25881904510252157,0.9659258262890681,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
13.6,14.0,88.0,20.0,clouds,Winter,0,1,0.0,1.0,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387
12.7,13.0,94.0,17.0,clouds,Winter,0,1,0.25881904510252074,0.9659258262890683,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387
11.7,12.0,100.0,19.0,clouds,Winter,0,1,0.49999999999999994,0.8660254037844387,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387
13.6,14.0,94.0,13.0,clouds,Winter,0,1,0.7071067811865475,0.7071067811865476,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387
13.6,14.0,94.0,13.0,clouds,Winter,0,1,0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387
,,,,,Winter,0,1,0.9659258262890682,0.25881904510252096,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387
11.7,12.0,77.0,20.0,light_rain,Winter,0,1,1.0,6.123233995736766e-17,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387
10.8,11.0,76.0,13.0,clouds,Winter,0,1,0.9659258262890683,-0.25881904510252063,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387
10.8,11.0,71.0,15.0,light_rain,Winter,0,1,0.8660254037844387,-0.49999999999999983,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387
9.9,10.0,76.0,15.0,clouds,Winter,0,1,0.7071067811865476,-0.7071067811865475,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387
8.9,7.0,81.0,15.0,clouds,Winter,0,1,0.5000000000000003,-0.8660254037844385,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387
8.9,6.0,71.0,17.0,clouds,Winter,0,1,0.25881904510252146,-0.9659258262890681,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387
8.9,6.0,66.0,20.0,clouds,Winter,0,1,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387
8.9,7.0,66.0,9.0,clouds,Winter,0,1,-0.2588190451025208,-0.9659258262890683,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387
8.9,7.0,76.0,13.0,light_rain,Winter,0,1,-0.4999999999999998,-0.8660254037844388,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387
8.0,6.0,81.0,11.0,light_rain,Winter,0,1,-0.7071067811865471,-0.7071067811865479,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387
8.0,6.0,71.0,11.0,light_rain,Winter,0,1,-0.8660254037844384,-0.5000000000000004,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387
8.0,6.0,57.0,13.0,clear,Winter,0,1,-0.9659258262890683,-0.25881904510252063,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387
8.9,6.0,46.0,22.0,clouds,Winter,0,1,-1.0,-1.8369701987210297e-16,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387
7.0,3.0,42.0,30.0,clear,Winter,0,1,-0.9659258262890684,0.2588190451025203,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387
6.1,2.0,39.0,24.0,clear,Winter,0,1,-0.866025403784439,0.49999999999999933,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387
4.2,-1.0,44.0,22.0,clear,Winter,0,1,-0.7071067811865477,0.7071067811865474,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387
3.3,-2.0,44.0,20.0,clear,Winter,0,1,-0.5000000000000012,0.8660254037844379,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387
2.3,-1.0,47.0,11.0,clear,Winter,0,1,-0.25881904510252157,0.9659258262890681,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387
2.3,-3.0,44.0,24.0,clear,Winter,0,0,0.0,1.0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
1.4,-5.0,44.0,28.0,clear,Winter,0,0,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
,,,,,Winter,0,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
,,,,,Winter,0,0,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
-0.5,-7.0,47.0,26.0,clear,Winter,0,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
-0.5,-7.0,47.0,19.0,clear,Winter,0,0,0.9659258262890682,0.25881904510252096,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
-1.4,-9.0,50.0,26.0,clear,Winter,0,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
-1.4,-7.0,50.0,13.0,clear,Winter,0,0,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
-1.4,-8.0,50.0,19.0,clear,Winter,0,0,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
-0.5,-7.0,43.0,26.0,clear,Winter,0,0,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
0.5,-5.0,43.0,17.0,clear,Winter,0,0,0.5000000000000003,-0.8660254037844385,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
1.4,-4.0,40.0,22.0,clear,Winter,0,0,0.25881904510252146,-0.9659258262890681,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2.3,-2.0,35.0,20.0,clear,Winter,0,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
3.3,-2.0,35.0,19.0,clear,Winter,0,0,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
4.2,-0.0,30.0,19.0,clear,Winter,0,0,-0.4999999999999998,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
4.2,-0.0,30.0,17.0,clear,Winter,0,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
4.2,-0.0,30.0,17.0,clear,Winter,0,0,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
3.3,-1.0,30.0,15.0,clear,Winter,0,0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
3.3,1.0,32.0,7.0,clear,Winter,0,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
1.4,1.0,47.0,0.0,clear,Winter,0,0,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
1.4,-1.0,47.0,7.0,clear,Winter,0,0,-0.866025403784439,0.49999999999999933,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
0.5,-3.0,64.0,9.0,clear,Winter,0,0,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
-1.4,-6.0,69.0,9.0,clear,Winter,0,0,-0.5000000000000012,0.8660254037844379,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
0.5,-2.0,55.0,7.0,clear,Winter,0,0,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
-0.5,-4.0,55.0,7.0,clear,Winter,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
-0.5,-4.0,59.0,7.0,clear,Winter,0,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
-1.4,-6.0,63.0,9.0,clear,Winter,0,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
,,,,,Winter,0,0,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
-1.4,-4.0,63.0,6.0,clear,Winter,0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
-2.4,-6.0,68.0,7.0,clear,Winter,0,0,0.9659258262890682,0.25881904510252096,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
-2.4,-6.0,74.0,7.0,clear,Winter,0,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
-2.4,-6.0,74.0,9.0,clear,Winter,0,0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
